Visit,Income,TravelAttitude,VacationImp,HHSize,HHHeadAge,Vacation.
1,50.2,5,8,3,43,2
1,70.3,6,7,4,61,3
1,62.9,7,5,6,52,3
1,48.5,7,5,5,36,1
1,52.7,6,6,4,55,3
1,75,8,7,5,68,3
1,46.2,5,3,3,62,2
1,57,2,4,6,51,2
1,64.1,7,5,4,57,3
1,68.1,7,6,5,45,3
1,73.4,6,7,5,44,3
1,71.9,5,8,4,64,3
1,56.2,1,8,6,54,2
1,49.3,4,2,3,56,3
1,62,5,6,2,58,3
0,32.1,5,4,3,58,1
0,36.2,4,3,2,55,1
0,43.2,2,5,2,57,2
0,50.4,5,2,4,37,2
0,44.1,6,6,3,42,2
0,38.3,6,6,2,45,1
0,55,1,2,2,57,2
0,46.1,3,5,3,51,1
0,35,6,4,5,64,1
0,37.3,2,7,4,54,1
0,41.8,5,1,3,56,2
0,57,8,3,2,36,2
0,33.4,6,8,2,50,1
0,37.5,3,2,3,48,1
0,41.3,3,3,2,42,1
1,50.8,4,7,3,45,2
1,63.6,7,4,7,55,3
1,54,6,7,4,58,2
1,45,5,4,3,60,2
1,68,6,6,6,46,3
1,62.1,5,6,3,56,3
0,35,4,3,4,54,1
0,49.6,5,3,5,39,1
0,39.4,6,5,3,44,3
0,37,2,6,5,51,1
0,54.5,7,3,3,37,2
0,38.2,2,2,3,49,1
